beta1,beta2,beta3,beta4,prob,method,alpha
"[0.035, 0.06, 0.06, 0.085, 0.095, 0.11, 0.125, 0.14, 0.175, 0.185, 0.215, 0.24, 0.265, 0.29, 0.32, 0.385, 0.425, 0.52]","[0.015, 0.03, 0.055, 0.06, 0.075, 0.08, 0.085, 0.09, 0.12, 0.14, 0.155, 0.16, 0.175, 0.175, 0.195, 0.235, 0.265, 0.32]","[0.02, 0.025, 0.04, 0.06, 0.08, 0.105, 0.135, 0.14, 0.17, 0.21, 0.245, 0.275, 0.295, 0.35, 0.38, 0.42, 0.45, 0.485]","[0.025, 0.035, 0.045, 0.045, 0.05, 0.075, 0.09, 0.105, 0.13, 0.145, 0.165, 0.175, 0.185, 0.22, 0.245, 0.28, 0.335, 0.37]","[0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95]","[""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post"", ""Approx-post""]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
"[0.165, 0.22, 0.29, 0.395, 0.435, 0.485, 0.54, 0.585, 0.62, 0.655, 0.715, 0.78, 0.81, 0.835, 0.85, 0.875, 0.91, 0.925]","[0.095, 0.145, 0.2, 0.225, 0.27, 0.32, 0.39, 0.435, 0.475, 0.52, 0.58, 0.635, 0.68, 0.715, 0.76, 0.795, 0.84, 0.9]","[0.1, 0.145, 0.21, 0.255, 0.315, 0.365, 0.4, 0.425, 0.455, 0.49, 0.555, 0.61, 0.665, 0.695, 0.735, 0.765, 0.815, 0.865]","[0.1, 0.15, 0.205, 0.255, 0.3, 0.385, 0.435, 0.495, 0.545, 0.565, 0.6, 0.63, 0.68, 0.7, 0.745, 0.79, 0.835, 0.89]","[0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95]","[""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post"", ""Adjust-post""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
